SFO	IUR	RfDo	RfCi	ABS	Analyte	CAS No.
 	 	7.0E-02	 	0.0075	Thiodiglycol	111-48-8
 	 	3.0E-04	 	0.1	Thiofanox	39196-18-4
1.2E-02	 	2.7E-02	 	0.1	"Thiophanate, Methyl"	23564-05-8
 	 	1.5E-02	 	0.1	Thiram	137-26-8
 	 	6.0E-01	 	 	Tin	7440-31-5
 	 	 	1.0E-04	 	Titanium Tetrachloride	7550-45-0
 	 	8.0E-02	5.0E+00	 	Toluene	108-88-3
 	1.1E-05	 	8.0E-06	 	"Toluene-2,4-diisocyanate"	584-84-9
1.8E-01	 	2.0E-04	 	0.1	"Toluene-2,5-diamine"	95-70-5
 	1.1E-05	 	8.0E-06	 	"Toluene-2,6-diisocyanate"	91-08-7
1.6E-02	5.1E-05	 	 	0.1	"Toluidine, o- (Methylaniline, 2-)"	95-53-4
3.0E-02	 	4.0E-03	 	0.1	"Toluidine, p-"	106-49-0
 	 	3.0E+00	 	 	Total Petroleum Hydrocarbons (Aliphatic High)	E1790670
 	 	 	6.0E-01	 	Total Petroleum Hydrocarbons (Aliphatic Low)	E1790666
 	 	1.0E-02	1.0E-01	 	Total Petroleum Hydrocarbons (Aliphatic Medium)	E1790668
 	 	4.0E-02	 	0.1	Total Petroleum Hydrocarbons (Aromatic High)	E1790676
 	 	4.0E-03	3.0E-02	 	Total Petroleum Hydrocarbons (Aromatic Low)	E1790672
 	 	4.0E-03	3.0E-03	 	Total Petroleum Hydrocarbons (Aromatic Medium)	E1790674
1.1E+00	3.2E-04	 	 	0.1	Toxaphene	8001-35-2
 	 	7.5E-03	 	0.1	Tralomethrin	66841-25-6
 	 	3.0E-04	 	 	Tri-n-butyltin	688-73-3
 	 	8.0E+01	 	0.1	Triacetin	102-76-1
 	 	3.4E-02	 	0.1	Triadimefon	43121-43-3
7.2E-02	 	2.5E-02	 	 	Triallate	2303-17-5
 	 	1.0E-02	 	0.1	Triasulfuron	82097-50-5
 	 	8.0E-03	 	0.1	Tribenuron-methyl	101200-48-0
 	 	5.0E-03	 	 	"Tribromobenzene, 1,2,4-"	615-54-3
 	 	9.0E-03	 	0.1	"Tribromophenol, 2,4,6-"	118-79-6
9.0E-03	 	1.0E-02	 	0.1	Tributyl Phosphate	126-73-8
 	 	3.0E-04	 	0.1	Tributyltin Compounds	E1790678
 	 	3.0E-04	 	0.1	Tributyltin Oxide	56-35-9
 	 	3.0E+01	5.0E+00	 	"Trichloro-1,2,2-trifluoroethane, 1,1,2-"	76-13-1
7.0E-02	 	2.0E-02	 	0.1	Trichloroacetic Acid	76-03-9
2.9E-02	 	 	 	0.1	"Trichloroaniline HCl, 2,4,6-"	33663-50-2
7.0E-03	 	3.0E-05	 	0.1	"Trichloroaniline, 2,4,6-"	634-93-5
 	 	8.0E-04	 	 	"Trichlorobenzene, 1,2,3-"	87-61-6
2.9E-02	 	1.0E-02	2.0E-03	 	"Trichlorobenzene, 1,2,4-"	120-82-1
 	 	2.0E+00	5.0E+00	 	"Trichloroethane, 1,1,1-"	71-55-6
5.7E-02	1.6E-05	4.0E-03	2.0E-04	 	"Trichloroethane, 1,1,2-"	79-00-5
4.6E-02	4.1E-06	5.0E-04	2.0E-03	 	Trichloroethylene	79-01-6
 	 	3.0E-01	 	 	Trichlorofluoromethane	75-69-4
 	 	1.0E-01	 	0.1	"Trichlorophenol, 2,4,5-"	95-95-4
1.1E-02	3.1E-06	1.0E-03	 	0.1	"Trichlorophenol, 2,4,6-"	88-06-2
 	 	1.0E-02	 	0.1	"Trichlorophenoxyacetic Acid, 2,4,5-"	93-76-5
 	 	8.0E-03	 	0.1	"Trichlorophenoxypropionic acid, -2,4,5"	93-72-1
 	 	5.0E-03	 	 	"Trichloropropane, 1,1,2-"	598-77-6
3.0E+01	 	4.0E-03	3.0E-04	 	"Trichloropropane, 1,2,3-"	96-18-4
 	 	3.0E-03	3.0E-04	 	"Trichloropropene, 1,2,3-"	96-19-5
 	 	2.0E-02	 	0.1	Tricresyl Phosphate (TCP)	1330-78-5
 	 	3.0E-03	 	0.1	Tridiphane	58138-08-2
 	 	 	7.0E-03	 	Triethylamine	121-44-8
 	 	2.0E+00	 	0.1	Triethylene Glycol	112-27-6
 	 	 	2.0E+01	 	"Trifluoroethane, 1,1,1-"	420-46-2
7.7E-03	 	7.5E-03	 	 	Trifluralin	1582-09-8
2.0E-02	 	1.0E-02	 	0.1	Trimethyl Phosphate	512-56-1
 	 	1.0E-02	6.0E-02	 	"Trimethylbenzene, 1,2,3-"	526-73-8
 	 	1.0E-02	6.0E-02	 	"Trimethylbenzene, 1,2,4-"	95-63-6
 	 	1.0E-02	6.0E-02	 	"Trimethylbenzene, 1,3,5-"	108-67-8
 	 	1.0E-02	 	 	"Trimethylpentene, 2,4,4-"	25167-70-8
 	 	3.0E-02	 	0.019	"Trinitrobenzene, 1,3,5-"	99-35-4
3.0E-02	 	5.0E-04	 	0.032	"Trinitrotoluene, 2,4,6-"	118-96-7
 	 	2.0E-02	 	0.1	Triphenylphosphine Oxide	791-28-6
 	 	2.0E-02	 	0.1	"Tris(1,3-Dichloro-2-propyl) Phosphate"	13674-87-8
 	 	1.0E-02	 	0.1	Tris(1-chloro-2-propyl)phosphate	13674-84-5
2.3E+00	6.6E-04	 	 	 	"Tris(2,3-dibromopropyl)phosphate"	126-72-7
2.0E-02	 	7.0E-03	 	0.1	Tris(2-chloroethyl)phosphate	115-96-8
3.2E-03	 	1.0E-01	 	0.1	Tris(2-ethylhexyl)phosphate	78-42-2
 	 	8.0E-04	 	 	Tungsten	7440-33-7
 	 	2.0E-04	4.0E-05	 	Uranium (Soluble Salts)	E715565
1.0E+00	2.9E-04	 	 	0.1	Urethane	51-79-6
 	8.3E-03	9.0E-03	7.0E-06	 	Vanadium Pentoxide	1314-62-1
 	 	5.0E-03	1.0E-04	 	Vanadium and Compounds	7440-62-2
 	 	1.0E-03	 	 	Vernolate	1929-77-7
 	 	1.2E-03	 	0.1	Vinclozolin	50471-44-8
 	 	1.0E+00	2.0E-01	 	Vinyl Acetate	108-05-4
 	3.2E-05	 	3.0E-03	 	Vinyl Bromide	593-60-2
7.2E-01	4.4E-06	3.0E-03	1.0E-01	 	Vinyl Chloride	75-01-4
 	 	3.0E-04	 	0.1	Warfarin	81-81-2
 	 	2.0E-01	1.0E-01	 	"Xylene, P-"	106-42-3
 	 	2.0E-01	1.0E-01	 	"Xylene, m-"	108-38-3
 	 	2.0E-01	1.0E-01	 	"Xylene, o-"	95-47-6
 	 	2.0E-01	1.0E-01	 	Xylenes	1330-20-7
 	 	3.0E-04	 	 	Zinc Phosphide	1314-84-7
 	 	3.0E-01	 	 	Zinc and Compounds	7440-66-6
 	 	5.0E-02	 	0.1	Zineb	12122-67-7
 	 	8.0E-05	 	 	Zirconium	7440-67-7
